municipio,IBGE,IBGE7,UF,regiao,populacao_2020,eh_capital,fonte_1,fonte_2,fonte_3,fonte_4,is_online,data_inicial,tipo_arquivo,validacao,navegacao,observacoes
Franca (SP),351620,3516200,SP,Região Sudeste,355901,False,https://www.franca.sp.gov.br/pmf-diario/,None,None,None,1,2014-04-08,PDF texto,True,None,"Não é possível filtrar por data. Para saber a data inicial, foi necessário fazer uma busca manual."
Francisco Morato (SP),351630,3516309,SP,Região Sudeste,177633,False,http://imprensaoficial.franciscomorato.sp.gov.br/frm_consultarEdicao.jsp,None,None,None,1,2017-10-31,PDF texto,True,None,
Franco da Rocha (SP),351640,3516408,SP,Região Sudeste,156492,False,http://francodarocha.sp.gov.br/franco/artigo/pesquisa/104,None,None,None,1,2013-06-26,PDF texto,True,None,
Garanhuns (PE),260600,2606002,PE,Região Nordeste,140577,False,http://www.diariomunicipal.com.br/amupe/pesquisar,None,None,None,1,2013-07-01,HTML,True,None,
Goiânia (GO),520870,5208707,GO,Região Centro-Oeste,1536097,True,https://www.goiania.go.gov.br/casa-civil/diario-oficial/,None,None,None,1,1960-04-21,PDF texto,True,None,
Governador Valadares (MG),312770,3127701,MG,Região Sudeste,281046,False,https://www.valadares.mg.gov.br/diario-eletronico/caderno/diario-oficial-eletronico/1,None,None,None,1,2014-03-07,PDF texto,True,None,
Gravataí (RS),430920,4309209,RS,Região Sul,283620,False,https://gravatai.atende.net/?pg=diariooficial&pagina=1,None,None,None,1,2015-05-04,HTML,True,None,
Guarapari (ES),320240,3202405,ES,Região Sudeste,126701,False,https://diariomunicipal.es.gov.br/?r=site/edicoes,None,None,None,1,2014-05-05,PDF texto,True,None,
Guarapuava (PR),410940,4109401,PR,Região Sul,182644,False,https://www.guarapuava.pr.gov.br/boletins-oficiais/,None,None,None,1,2002-01-14,PDF texto,True,None,
Guaratinguetá (SP),351840,3518404,SP,Região Sudeste,122505,False,https://guaratingueta.sp.gov.br/diario-oficial-da-estancia-turistica-de-guaratingueta/,None,None,None,1,2015-06-23,PDF imagem,True,None,
Guarujá (SP),351870,3518701,SP,Região Sudeste,322750,False,https://www.guaruja.sp.gov.br/edicoes-diario-oficial/,None,None,None,1,2015-01-06,PDF texto,True,None,
Guarulhos (SP),351880,3518800,SP,Região Sudeste,1392121,False,https://www.guarulhos.sp.gov.br/diario-oficial,None,None,None,1,2004-08-24,PDF texto,True,None,"Não existe uma forma de pesquisar por data, e não é possível ver o período para o qual os diários estão disponíveis."
Hortolândia (SP),351907,3519071,SP,Região Sudeste,234259,False,https://publicacoesmunicipais.com.br/eatos/,https://publicacoesmunicipais.com.br:8443/api/Acts?idEntity=126,None,None,1,2017-04-27,PDF texto,True,None,"A fonte secundária retorna um JSON com as edições existentes, identificadas pelo parâmetro ""edition"". Para requisitar um arquivo PDF com o número da edição, basta usar a URL ""https://publicacoesmunicipais.com.br:8443/api/acts/hortolandia/{edition}""."
Ibirité (MG),312980,3129806,MG,Região Sudeste,182153,False,https://www.ibirite.mg.gov.br/diario-eletronico/caderno/diario-municipal/1,None,None,None,1,2015-10-13,PDF texto,True,None,
Igarassu (PE),260680,2606804,PE,Região Nordeste,118370,False,http://www.diariomunicipal.com.br/amupe/pesquisar?busca_avancada[entidadeUsuaria]=12392,None,None,None,1,2014-07-14,HTML,True,None,
Iguatu (CE),230550,2305506,CE,Região Nordeste,103074,False,http://www.diariomunicipal.com.br/aprece/pesquisar?busca_avancada[entidadeUsuaria]=12438,None,None,None,1,2014-06-16,HTML,True,None,
Ilhéus (BA),291360,2913606,BA,Região Nordeste,159923,False,https://www.ilheus.ba.gov.br/diario-eletronico,None,None,None,1,2007-04-11,PDF texto,True,None,None
Imperatriz (MA),210530,2105302,MA,Região Nordeste,259337,False,https://www.diariooficial.ma.gov.br/public/index.xhtml,None,None,None,1,2002-01-11,PDF texto,True,None,"Publica no caderno ""Terceiros"" do Diário Oficial do Estado do Maranhão, como ""PREFEITURA MUNICIPAL DE IMPERATRIZ"".

Não é possível ordenar os diários por data"
Indaiatuba (SP),352050,3520509,SP,Região Sudeste,256223,False,https://imprensaoficialmunicipal.com.br/indaiatuba,None,None,None,1,2017-12-01,PDF texto,True,None,None
Ipatinga (MG),313130,3131307,MG,Região Sudeste,265409,False,https://www.ipatinga.mg.gov.br/diariooficial,None,None,None,1,2012-03-20,PDF texto,True,None,
Itabira (MG),313170,3131703,MG,Região Sudeste,120904,False,https://www.jornalminasgerais.mg.gov.br,None,None,None,1,2010-12-22,PDF texto,True,None,
Itaboraí (RJ),330190,3301900,RJ,Região Sudeste,242543,False,https://www.itaborai.rj.gov.br/diario-oficial/,None,None,None,1,2019-01-23,PDF texto,True,None,
Itabuna (BA),291480,2914802,BA,Região Nordeste,213685,False,http://www.itabuna.ba.gov.br/diariooficial.html,None,None,None,1,2018-03-01,PDF imagem,True,None,None
Itacoatiara (AM),130190,1301902,AM,Região Norte,102701,False,http://www.diariomunicipal.com.br/aam/pesquisar,None,None,None,1,2017-01-10,HTML,True,None,
Itaguaí (RJ),330200,3302007,RJ,Região Sudeste,134819,False,https://itaguai.rj.gov.br/jornal-oficial.php,None,None,None,1,2015-05-12,PDF texto,True,None,
Itaituba (PA),150360,1503606,PA,Região Norte,101395,False,http://www.diariomunicipal.com.br/famep/pesquisar?busca_avancada%5B__paper%5D=1&busca_avancada%5BentidadeUsuaria%5D=64022&busca_avancada%5Bnome_orgao%5D=&busca_avancada%5Btitulo%5D=&busca_avancada%5Bt,None,None,None,1,2017-08-02,PDF texto,True,None,
Itajaí (SC),420820,4208203,SC,Região Sul,223112,False,https://portaldocidadao.itajai.sc.gov.br/servico_link/61,https://www.diariomunicipal.sc.gov.br/site/?r=site/index&q=+entidade%3A%22Prefeitura+municipal+de+Itaja%C3%AD%22,None,None,1,2005-01-01,PDF texto,True,None,"Os arquivos da fonte secundária (desde março de 2020) estão disponíveis em PDF texto, HTML e DOCX."
Itanhaém (SP),352210,3522109,SP,Região Sudeste,103102,False,http://www2.itanhaem.sp.gov.br/boletim-oficial/,None,None,None,1,2004-04-22,PDF texto,True,None,
Itapecerica da Serra (SP),352220,3522208,SP,Região Sudeste,177662,False,https://www.itapecerica.sp.gov.br/imprensa-oficial,None,None,None,1,2009-10-30,PDF imagem,True,None,
Itaperuna (RJ),330220,3302205,RJ,Região Sudeste,103800,False,https://www.itaperuna.rj.gov.br/?pg=jornal_oficial,None,None,None,1,2015-11-19,PDF imagem,True,None,
Itapetininga (SP),352230,3522307,SP,Região Sudeste,165526,False,https://semanario.itapetininga.sp.gov.br/arquivo-do-semanario-oficial/,None,None,None,1,2006-07-22,PDF texto,True,None,A prefeitura publica semanalmente e chama de semanário.
Itapevi (SP),352250,3522505,SP,Região Sudeste,240961,False,https://itapevi.sp.gov.br/diario-oficial/,http://www.itapevi.sp.gov.br/noticiasNovo/sec_gabinete/diario_oficial.php,None,None,1,2009-01-17,PDF imagem,True,None,None
Itapipoca (CE),230640,2306405,CE,Região Nordeste,130539,False,http://pesquisa.doe.seplag.ce.gov.br/doepesquisa/sead.do,None,None,None,1,1966-08-08,PDF texto,True,None,"Publicado como parte do Diário Oficial do Estado.

A URL direta para consultar os atos do município é:
http://pesquisa.doe.seplag.ce.gov.br/doepesquisa/sead.do?page=pesquisaAvancada&action=PesquisarBasica&cmd=10&flag=1&dataini=&datafim=&numDiario=&numPagina=&numCaderno=&checkbox=5&siglaOrgao=&idOrgaoOrigem=160&nomSiglaOrgao=&nomOrgao=Prefeitura+Municipal+de+Itapipoca&idTipoMateria=&dscTipoMateria=&dataMatIni=&dataMatFim=&numMateria=&consultar=

(URL encurtada no registro da fonte por conta do limite de caracteres)"
Itaquaquecetuba (SP),352310,3523107,SP,Região Sudeste,375011,False,https://www.itaquaquecetuba.sp.gov.br/diariooficial/,None,None,None,1,2018-09-03,PDF texto,True,None,"(Taís) Embora haja um decreto (documento publicado em 03/09/2018) que regulamenta a publicação do Diário Oficial no site em questão, os registros correspondem a documentos isolados (decretos, portarias, editais, etc.) publicados por diferentes departamentos da prefeitura. Dessa forma, há datas com mais de 6 documentos registrados e não há um documento unificado referente ao DO."
Itatiba (SP),352340,3523404,SP,Região Sudeste,122581,False,http://www.itatiba.sp.gov.br/Edicao-Online/imprensaoficial/,None,None,None,1,2003-05-30,PDF texto,True,None,
Itu (SP),352390,3523909,SP,Região Sudeste,175568,False,https://itu.sp.gov.br/imprensa-oficial/,https://itu.sp.gov.br/governo/imprensa-oficial-edicoes-anteriores/,None,None,1,2011-09-15,PDF imagem,True,None,None
Ituiutaba (MG),313420,3134202,MG,Região Sudeste,105255,False,https://www.jornalminasgerais.mg.gov.br,None,None,None,1,2010-12-16,PDF texto,True,None,
Itumbiara (GO),521150,5211503,GO,Região Centro-Oeste,105809,False,https://itumbiara.com.br/diario/,None,None,None,1,2010-05-17,PDF texto,True,None,
Jaboatão Dos Guararapes (PE),260790,2607901,PE,Região Nordeste,706867,False,https://diariooficial.jaboatao.pe.gov.br/,None,None,None,1,2015-12-12,HTML,True,None,
Jacareí (SP),352440,3524402,SP,Região Sudeste,235416,False,https://boletinsoficiais.geosiap.net/pmjacarei/public/publicacoes,None,None,None,1,2004-03-27,PDF texto,True,None,
Jandira (SP),352500,3525003,SP,Região Sudeste,126356,False,https://portal.jandira.sp.gov.br/jopej/,http://200.98.169.8/transparencia/(S(h3tkjinwluu2ot4made4yf4v))/Web_DOCUMENTOS.aspx,None,None,1,2020-07-28,PDF texto,True,None,None
Japeri (RJ),330227,3302270,RJ,Região Sudeste,105548,False,http://siapegov.japeri.rj.gov.br/portal-transparencia/publicacoes,None,None,None,1,2019-01-01,PDF imagem,True,None,Ainda não tem nenhum diário publicado em 2021. O último é de 17/12/2020.
Jaraguá do Sul (SC),420890,4208906,SC,Região Sul,181173,False,https://diariomunicipal.sc.gov.br/site/?r=site/index&q=cod_entidade%3A138,None,None,None,1,2016-01-22,PDF texto,True,None,
Jataí (GO),521190,5211909,GO,Região Centro-Oeste,102065,False,http://www.jatai.go.gov.br/diariooficial/,None,None,None,1,2013-03-04,PDF texto,True,0.0,
Jaú (SP),352530,3525300,SP,Região Sudeste,151881,False,http://www.jau.sp.gov.br/jornal-oficial,None,None,None,1,2007-06-13,PDF texto,True,None,
Jequié (BA),291800,2918001,BA,Região Nordeste,156126,False,http://www.ipmbrasil.org.br/diariooficial/ba/pmjequie/diario,None,None,None,1,2014-02-05,PDF texto,True,None,
Ji-paraná (RO),110012,1100122,RO,Região Norte,130009,False,https://www.domjp.com.br/,None,None,None,1,2010-01-04,PDF imagem,True,None,
Joinville (SC),420910,4209102,SC,Região Sul,597658,False,https://www.joinville.sc.gov.br/jornal,https://www.diariomunicipal.sc.gov.br/site/?q=cod_entidade%3A141,None,None,1,2009-01-02,PDF texto,True,None,
João Pessoa (PB),250750,2507507,PB,Região Nordeste,817511,True,http://antigo.joaopessoa.pb.gov.br/semanariooficial/,None,None,None,1,1991-01-02,PDF texto,True,None,None
Juazeiro (BA),291840,2918407,BA,Região Nordeste,218162,False,http://doem.org.br/ba/juazeiro,None,None,None,1,2013-03-07,PDF imagem,True,None,None
Juazeiro do Norte (CE),230730,2307304,CE,Região Nordeste,276264,False,https://juazeiro.ce.gov.br/Imprensa/Diario-Oficial/,None,None,None,1,2009-01-05,PDF texto,True,None,None
Juiz de Fora (MG),313670,3136702,MG,Região Sudeste,573285,False,https://www.pjf.mg.gov.br/e_atos/e_atos.php,https://www.pjf.mg.gov.br/e_atos/anos_anteriores.php,None,None,1,2010-01-05,HTML,True,None,
Jundiaí (SP),352590,3525904,SP,Região Sudeste,423006,False,https://imprensaoficial.jundiai.sp.gov.br/,None,None,None,1,2006-04-04,PDF texto,True,None,None
Lagarto (SE),280350,2803500,SE,Região Nordeste,105221,False,https://segrase.se.gov.br/buscanova/#/q=Prefeitura%20de%20Lagarto,None,None,None,1,2016-01-11,Outro formato,True,None,O ambiente aberto permite visualizar apenas como imagem.
Lages (SC),420930,4209300,SC,Região Sul,157349,False,https://diariomunicipal.sc.gov.br/site/?r=site/index&q=cod_entidade%3A145,None,None,None,1,2010-12-27,PDF texto,True,None,
Lauro de Freitas (BA),291920,2919207,BA,Região Nordeste,201635,False,https://io.org.br/ba/laurodefreitas/diarioOficial,None,None,None,1,2013-07-13,PDF texto,True,None,
Lavras (MG),313820,3138203,MG,Região Sudeste,104783,False,http://187.60.128.132:8082/portalcidadao/#075f539f0b7223f116d2c85c4ce1b1752fccb0db1fd92284312b33310fb199ef6050e9373e0f36365cbb7737a0e49e582e657146a648fd13d54aa9e4338df879e807578fb1eeafd72884ceb96cdaaa,None,None,None,1,2010-11-04,PDF texto,True,None,
Leme (SP),352670,3526704,SP,Região Sudeste,104346,False,https://www.leme.sp.gov.br/imprensa,None,None,None,1,2003-01-05,PDF texto,True,None,
Limeira (SP),352690,3526902,SP,Região Sudeste,308482,False,http://servicosonline.limeira.sp.gov.br/jof/NetJornal_cns_edicoes_cons_site/,None,None,None,1,2011-04-05,PDF imagem,True,None,
Linhares (ES),320320,3203205,ES,Região Sudeste,176688,False,https://ioes.dio.es.gov.br/buscanova/#/caderno_municipios/p=14&q=Linhares,None,None,None,1,2020-10-22,PDF texto,True,None,"Publicado como seção dentro do DIário Oficial dos Municípios Capixabas, da Imprensa Oficial do Espírito Santo."
Londrina (PR),411370,4113700,PR,Região Sul,575377,False,https://www.londrina.pr.gov.br/busca-jornal,None,None,None,1,1997-02-06,PDF texto,True,None,None
Luziânia (GO),521250,5212501,GO,Região Centro-Oeste,211508,False,http://diariooficial.abc.go.gov.br/buscanova/#/q=%22PREFEITURA%20MUNICIPAL%20DE%20LUZI%C3%82NIA%22,None,None,None,1,2007-11-23,PDF texto,True,None,
Macapá (AP),160030,1600303,AP,Região Norte,512902,True,https://macapa.ap.gov.br/diarios-oficiais/,None,None,None,1,2018-01-02,PDF imagem,True,None,
Macaé (RJ),330240,3302403,RJ,Região Sudeste,261501,False,http://sistemas.macae.rj.gov.br:84/diariooficial/,None,None,None,1,2020-05-22,PDF texto,True,None,
Maceió (AL),270430,2704302,AL,Região Nordeste,1025360,True,http://www.maceio.al.gov.br/noticias/diario-oficial/,None,None,None,1,2013-01-10,PDF texto,True,None,None
Magé (RJ),330250,3302502,RJ,Região Sudeste,246433,False,http://mage.rj.gov.br/bio/,None,None,None,1,2019-10-16,PDF texto,True,None,"No site, há indicação de edições desde de 2016, porém as anteriores à data indicada estão fora do ar (erro 404)."
Mairiporã (SP),352850,3528502,SP,Região Sudeste,101937,False,http://mairipora.sp.gov.br/imprensa-oficial/,None,None,None,1,2006-11-08,PDF imagem,True,None,
Manaus (AM),130260,1302603,AM,Região Norte,2219580,True,https://diario.imprensaoficial.am.gov.br/,None,None,None,1,1956-01-01,PDF texto,True,None,O diário do dia também está disponível em HTML.
Marabá (PA),150420,1504208,PA,Região Norte,283542,False,http://www.diariomunicipal.com.br/famep/pesquisar,None,None,None,1,2015-08-20,HTML,True,None,
Maracanaú (CE),230765,2307650,CE,Região Nordeste,229458,False,http://pesquisa.doe.seplag.ce.gov.br/doepesquisa/sead.do,None,None,None,1,1990-07-13,PDF texto,True,None,"Publicado em conjunto com o Diário Oficial do Estado.

A URL completa para consultar os atos do município é:
http://pesquisa.doe.seplag.ce.gov.br/doepesquisa/sead.do?page=pesquisaAvancada&action=PesquisarBasica&cmd=10&flag=1&dataini=&datafim=&numDiario=&numPagina=&numCaderno=&checkbox=5&siglaOrgao=&idOrgaoOrigem=63&nomSiglaOrgao=&nomOrgao=Prefeitura%20Municipal%20de%20Maracana%FA&idTipoMateria=&dscTipoMateria=&dataMatIni=&dataMatFim=&numMateria=&consultar=

(encurtado na fonte de publicação porque os caracteres são limitados)"
Maranguape (CE),230770,2307700,CE,Região Nordeste,130346,False,http://pesquisa.doe.seplag.ce.gov.br/doepesquisa/sead.do?page=pesquisaAvancada&action=PesquisarBasica&cmd=10&flag=1&nomOrgao=Prefeitura+Municipal+de+Maranguape&checkbox=5,None,None,None,1,1999-01-11,PDF texto,True,None,"Há registro de diários anteriores (desde a década de 1950, ou antes), mas os links estão quebrados."
Maricá (RJ),330270,3302700,RJ,Região Sudeste,164504,False,https://www.marica.rj.gov.br/jom/,None,None,None,1,2006-07-17,PDF texto,True,None,
Maringá (PR),411520,4115200,PR,Região Sul,430157,False,http://venus.maringa.pr.gov.br/arquivos/orgao_oficial/seleciona_ano_oom.php,None,None,None,1,2007-01-05,PDF texto,True,None,
Marituba (PA),150442,1504422,PA,Região Norte,133685,False,http://www.diariomunicipal.com.br/famep/pesquisar,None,None,None,1,2018-04-18,HTML,True,None,
Marília (SP),352900,3529005,SP,Região Sudeste,240590,False,https://www.marilia.sp.gov.br/portal/diario-oficial,None,None,None,1,2009-06-01,PDF texto,True,None,
Mauá (SP),352940,3529401,SP,Região Sudeste,477552,False,http://dom.maua.sp.gov.br/,None,None,None,1,2010-07-15,HTML,True,None,"(Taís) O site contém publicações separadas por categoria (poder executivo, legislativo, legislações) e seções. Não consegui conferir qual foi a primeira publicação pois cada seção possui quantidades diferentes de registros.

(Géssika) O site é muito desorganizado. São vários links que tentam traduzir as ações da gestão de maneira separada em uma página num determinado dia, além de confundir o cidadão colocando as iniciativas da câmara municipal em um mesmo espaço."
Mesquita (RJ),330285,3302858,RJ,Região Sudeste,176569,False,https://transparencia.mesquita.rj.gov.br/?serv=18,None,None,None,1,2015-07-15,PDF texto,True,None,
Mogi Guaçu (SP),353070,3530706,SP,Região Sudeste,153033,False,https://mogiguacu.sp.gov.br/publicacao-editais/,None,None,None,1,2020-01-04,HTML,True,None,
Moji Das Cruzes (SP),353060,3530607,SP,Região Sudeste,450785,False,https://www.imprensaoficial.com.br/DO/BuscaDO2001Resultado_11_3.aspx?filtropalavraschave=%22PREFEITURA+MUNICIPAL+DE+MOGI+DAS+CRUZES%22,None,None,None,1,2003-01-03,PDF texto,True,None,
Montes Claros (MG),314330,3143302,MG,Região Sudeste,413487,False,http://diariooficial.montesclaros.mg.gov.br,None,None,None,1,2013-07-02,PDF texto,True,None,
Mossoró (RN),240800,2408003,RN,Região Nordeste,300618,False,http://jom.prefeiturademossoro.com.br,None,None,None,1,2008-01-30,PDF texto,True,None,
Muriaé (MG),314390,3143906,MG,Região Sudeste,109392,False,http://www.diariomunicipal.com.br/amm-mg/pesquisar?busca_avancada[entidadeUsuaria]=37073,None,None,None,1,2017-01-10,HTML,True,None,
Natal (RN),240810,2408102,RN,Região Nordeste,890480,True,https://www.natal.rn.gov.br/dom/,None,None,None,1,2003-11-19,PDF texto,True,None,None
Nilópolis (RJ),330320,3303203,RJ,Região Sudeste,162693,False,http://nilopolis.rj.gov.br/site/diario-oficial-online/,http://www.vozdosmunicipios.com.br/atos.php,None,None,1,2018-08-31,PDF imagem,True,None,
Niterói (RJ),330330,3303302,RJ,Região Sudeste,515317,False,http://niteroi.rj.gov.br/do.html,None,None,None,1,2003-07-01,PDF texto,True,None,None
Nossa Senhora do Socorro (SE),280480,2804805,SE,Região Nordeste,185706,False,https://www.in.gov.br/consulta/-/buscar/dou?q=%22Munic%C3%ADpio+de+Nossa+Senhora+do+Socorro%22&orgPrin=Prefeituras&orgSub=Estado+de+Sergipe,None,None,None,1,2018-07-02,HTML,True,None,"Parece publicar no Diário Oficial da União (há mais de uma centena de atos, inclusive recentes).

Embora uma interface própria de busca dos diários exista e esteja linkada no portal da prefeitura (http://www.nossasenhoradosocorro.se.io.org.br/diarioOficial), a única publicação retornada nela é um ato de 15/05/2017. Todo o resto retorna vazio.

Há menções à Prefeitura de Nossa Senhora do Socorro no Diário Oficial do Estado de Sergipe, mas todos parecem ser falsos positivos - atos em que a prefeitura figura como parte, mas que são publicados por órgãos do Governo Estadual (acordos, doações etc.)."
Nova Friburgo (RJ),330340,3303401,RJ,Região Sudeste,191158,False,https://plenussistemas.dioenet.com.br/list/nova-friburgo,None,None,None,1,2019-10-17,PDF texto,True,None,None
Nova Iguaçu (RJ),330350,3303500,RJ,Região Sudeste,823302,False,https://diario.novaiguacu.rj.gov.br/,http://www.novaiguacu.rj.gov.br/diario-oficial/,None,None,1,2014-09-17,PDF texto,True,None,None
Nova Serrana (MG),314520,3145208,MG,Região Sudeste,105520,False,https://www.novaserrana.mg.gov.br/portal/diario-oficial,None,None,None,1,2015-10-27,PDF texto,True,None,
Novo Gama (GO),521523,5215231,GO,Região Centro-Oeste,117703,False,http://diariooficial.abc.go.gov.br/buscanova/#/q=%22PREFEITURA%20MUNICIPAL%20DE%20NOVO%20GAMA%22,None,None,None,1,2007-11-07,PDF texto,True,None,
Novo Hamburgo (RS),431340,4313409,RS,Região Sul,247032,False,https://www.diariooficial.rs.gov.br,None,None,None,1,2017-11-14,HTML,True,None,
Olinda (PE),260960,2609600,PE,Região Nordeste,393115,False,http://www.diariomunicipal.com.br/amupe/pesquisar,http://www.diariomunicipal.com.br/amupe/,None,None,1,2012-01-23,PDF texto,True,None,"O Diário Oficial de Olinda é hospedado no site dos Diários Oficiais da Associação dos Municípios de Pernambuco como publicação diária em um mesmo documento com outras cidades do interior. Também é possível fazer a busca na mesma página colocando como filtro o nome da cidade. Ao fazer isso, os atos da administração não ficam disponíveis em um documento só, mas em várias abas que o cidadão deve baixar uma por uma."
Osasco (SP),353440,3534401,SP,Região Sudeste,699944,False,http://www.osasco.sp.gov.br/imprensa-oficial?page=1,None,None,None,1,2002-02-08,PDF texto,True,None,None
Ourinhos (SP),353470,3534708,SP,Região Sudeste,114352,False,https://www.ourinhos.sp.gov.br/diario-oficial,None,None,None,1,2005-01-20,PDF imagem,True,None,
Palhoça (SC),421190,4211900,SC,Região Sul,175272,False,https://diariomunicipal.sc.gov.br/site/?r=site/index&q=cod_entidade%3A185,None,None,None,1,2011-09-08,PDF texto,True,None,
Palmas (TO),172100,1721000,TO,Região Norte,306296,True,http://diariooficial.palmas.to.gov.br/,http://diariooficial.palmas.to.gov.br/todos-diarios/,None,None,1,2010-03-22,PDF texto,True,None,None
Paragominas (PA),150550,1505502,PA,Região Norte,114503,False,http://www.diariomunicipal.com.br/famep/pesquisar?busca_avancada%5B__paper%5D=1&busca_avancada%5BentidadeUsuaria%5D=76930&busca_avancada%5Bnome_orgao%5D=&busca_avancada%5Btitulo%5D=&busca_avancada%5Bt,None,None,None,1,2018-01-03,HTML,True,None,
Paranaguá (PR),411820,4118204,PR,Região Sul,156174,False,http://www.diariomunicipal.com.br/amp/pesquisar?busca_avancada[entidadeUsuaria]=16026,None,None,None,1,2015-04-02,HTML,True,None,
Parauapebas (PA),150553,1505536,PA,Região Norte,213576,False,http://www.ioepa.com.br/pesquisa/?q=%22PREFEITURA%20MUNICIPAL%20DE%20PARAUAPEBAS%22&di=00010101&df=20991231,None,None,None,1,2008-01-02,PDF texto,True,None,"Publicado como parte do Diário Oficial do Pará, pelo menos até 05/10/2020 (sem publicações no veículo desde então).

Editais publicados de forma avulsa na página da prefeitura: https://www.parauapebas.pa.gov.br/index.php/editais2.html

Existe a previsão de implementação de um diário oficial eletrônico próprio, em parceria com a Imprensa Oficial do Estado do Pará: https://www.parauapebas.pa.gov.br/index.php/ultimas-noticias/2690-implantacao-do-diario-oficial-eletronico-de-parauapebas-avanca.html

Foi protocolada uma manifestação na Ouvidoria do município, que resultou na informação de que o sistema ainda não estava implementado (até 25/11/2020, data do memorando) devido à ""necessidade de customização do sistema responsável pela operacionalização do envio das matérias a serem publicadas"" (Memo. n. 427/2020-SEPLAN/GAB)."
Parintins (AM),130340,1303403,AM,Região Norte,115363,False,http://www.diariomunicipal.com.br/aam/pesquisar,None,None,None,1,2010-03-11,HTML,True,None,
Parnamirim (RN),240325,2403251,RN,Região Nordeste,267036,False,http://diariooficial.parnamirim.rn.gov.br/#/,None,None,None,1,2018-07-17,PDF texto,True,None,None
Parnaíba (PI),220770,2207702,PI,Região Nordeste,153482,False,http://dom.parnaiba.pi.gov.br/,None,None,None,1,2017-08-01,PDF texto,True,None,
Passo Fundo (RS),431410,4314100,RS,Região Sul,204722,False,http://www.pmpf.rs.gov.br/transparencia/secao.php?t=11&p=150,None,None,None,1,2013-01-03,PDF texto,True,None,
Passos (MG),314790,3147907,MG,Região Sudeste,115337,False,https://www.jornalminasgerais.mg.gov.br/,None,None,None,1,2010-12-17,PDF texto,True,None,"Publica na seção ""Terceiros"" do Jornal Minas Gerais (diário oficial do estado de Minas Gerais). Buscar por ""Prefeitura Municipal de Passos"" (com aspas).

Atos entre julho de 2005 e dezembro de 2010 deveriam estar disponíveis em <http://pesquisa.iof.mg.gov.br/pesquisa/pesquisaNew.asp>, mas o formulário estava não responsivo durante a validação."
Patos (PB),251080,2510808,PB,Região Nordeste,108192,False,http://patos.pb.gov.br/servicos/diario-oficial,None,None,None,1,2016-08-01,PDF texto,True,None,
Patos de Minas (MG),314800,3148004,MG,Região Sudeste,153585,False,http://patosdeminas.mg.gov.br/home/prefeitura-de-patos-de-minas/secretaria-municipal-de-governo/diario-oficial-do-municipio/,None,None,None,1,2019-10-15,PDF texto,True,None,
Paulista (PE),261070,2610707,PE,Região Nordeste,334376,False,https://www.imprensaoficialmunicipal.com.br/paulista,None,None,None,1,2020-06-15,PDF texto,True,None,None
Paulo Afonso (BA),292400,2924009,BA,Região Nordeste,118516,False,http://www.pauloafonso.ba.io.org.br/diarioOficial,None,None,None,1,2009-10-26,PDF texto,True,None,None
Paulínia (SP),353650,3536505,SP,Região Sudeste,112003,False,http://www.paulinia.sp.gov.br/semanarios,None,None,None,1,2009-01-05,PDF texto,True,None,
Paço do Lumiar (MA),210750,2107506,MA,Região Nordeste,123747,False,https://www.pacodolumiar.ma.gov.br/diariooficial/?Esf=1,None,None,None,1,2017-08-03,PDF texto,True,None,
Pelotas (RS),431440,4314407,RS,Região Sul,343132,False,http://www.diariomunicipal.com.br/famurs/pesquisar?busca_avancada%5B__paper%5D=1&busca_avancada%5BentidadeUsuaria%5D=108852&busca_avancada%5Bnome_orgao%5D=&busca_avancada%5Btitulo%5D=&busca_avancada%5,None,None,None,1,2018-11-20,HTML,True,None,
Petrolina (PE),261110,2611101,PE,Região Nordeste,354317,False,https://petrolina.pe.gov.br/diario-oficial/,None,None,None,1,2014-03-06,PDF texto,True,None,
Petrópolis (RJ),330390,3303906,RJ,Região Sudeste,306678,False,http://www.petropolis.rj.gov.br/pmp/index.php/servicos-na-web/informacoes/diario-oficial/viewcategory/3-diario-oficial.html,None,None,None,1,2001-10-02,PDF texto,True,None,None
Pindamonhangaba (SP),353800,3538006,SP,Região Sudeste,170132,False,http://jornaltribunadonorte.net/editais/,None,None,None,1,2016-05-18,PDF texto,True,None,
Pinhais (PR),411915,4119152,PR,Região Sul,133490,False,https://pinhais.atende.net/?pg=diariooficial,None,None,None,1,2017-05-26,PDF texto,True,None,
Piracicaba (SP),353870,3538709,SP,Região Sudeste,407252,False,https://diariooficial.piracicaba.sp.gov.br,None,None,None,1,2009-03-03,PDF imagem,True,None,None
Piraquara (PR),411950,4119509,PR,Região Sul,114970,False,http://www.diariomunicipal.com.br/amp/pesquisar,None,None,None,1,2012-11-27,HTML,True,None,
Ponta Grossa (PR),411990,4119905,PR,Região Sul,355336,False,http://pontagrossa.pr.gov.br/diario-oficial,None,None,None,1,2009-07-06,PDF texto,True,None,
Porto Alegre (RS),431490,4314902,RS,Região Sul,1488252,True,http://www2.portoalegre.rs.gov.br/dopa/,None,None,None,1,2003-09-03,PDF texto,True,None,None
Porto Seguro (BA),292530,2925303,BA,Região Nordeste,150658,False,https://doem.org.br/pl/ba/portoseguro,None,None,None,1,2017-01-05,PDF imagem,True,None,None
